option,hex
Zebrasoma_velifer,#442316
Zebrasoma_velifer,#aa812d
Zebrasoma_velifer,#f1eb58
Zebrasoma_velifer,#283f99
Zebrasoma_velifer,#cfc9c8
Trimma_lantana,#791214
Trimma_lantana,#ed1c24
Trimma_lantana,#f6871f
Trimma_lantana,#edba36
Trimma_lantana,#4ab2b8
Thalassoma_hardwicke,#f8b3bb
Thalassoma_hardwicke,#a1cd3a
Thalassoma_hardwicke,#8fd5e1
Thalassoma_hardwicke,#00adde
Thalassoma_hardwicke,#081114
Chlorurus_microrhinos,#00334b
Chlorurus_microrhinos,#04508d
Chlorurus_microrhinos,#997d75
Chlorurus_microrhinos,#009303
Chlorurus_microrhinos,#1ac1df
Ostracion_cubicus,#0e1326
Ostracion_cubicus,#784e38
Ostracion_cubicus,#99732b
Ostracion_cubicus,#c7aa2e
Ostracion_cubicus,#f7ed4c
